NAME	InducerComp_10x_RF_AT_-IFI
VAR	annotator	inducer	ontology	classifier
OUT	1	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	1	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	1	1	0.2826	0.7174
OUT	1	0	0.5600	0.4400
OUT	1	1	0.2826	0.7174
OUT	0	0	0.5822	0.4178
OUT	1	0	0.5600	0.4400
OUT	1	0	0.5822	0.4178
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5822	0.4178
OUT	1	0	0.5600	0.4400
OUT	1	1	0.2826	0.7174
OUT	1	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	1	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	1	0.2826	0.7174
OUT	0	1	0.1213	0.8787
OUT	0	0	0.5600	0.4400
OUT	1	0	0.5600	0.4400
OUT	0	1	0.2826	0.7174
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	1	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	1	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	1	0	0.5822	0.4178
OUT	1	0	0.5600	0.4400
OUT	1	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	1	0	0.5822	0.4178
OUT	0	0	0.5822	0.4178
OUT	0	0	0.5822	0.4178
OUT	0	0	0.5600	0.4400
OUT	1	0	0.5600	0.4400
OUT	1	0	0.5600	0.4400
OUT	1	1	0.2826	0.7174
OUT	1	0	0.5600	0.4400
OUT	0	0	0.5822	0.4178
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5822	0.4178
OUT	0	0	0.5822	0.4178
OUT	1	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5822	0.4178
OUT	1	1	0.1297	0.8703
OUT	1	1	0.1297	0.8703
OUT	0	1	0.2826	0.7174
OUT	1	0	0.5600	0.4400
RES
OUT	0	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	0	1	0.3009	0.6991
OUT	0	0	0.5852	0.4148
OUT	0	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	1	1	0.1638	0.8362
OUT	1	0	0.5852	0.4148
OUT	0	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	1	0	0.8277	0.1723
OUT	0	0	0.5692	0.4308
OUT	0	0	0.5852	0.4148
OUT	1	0	0.5692	0.4308
OUT	0	0	0.5852	0.4148
OUT	0	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	1	1	0.3009	0.6991
OUT	0	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	0	0	0.5852	0.4148
OUT	1	1	0.0642	0.9358
OUT	0	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	1	1	0.0000	1.0000
OUT	1	0	0.5852	0.4148
OUT	1	1	0.3009	0.6991
OUT	1	1	0.0642	0.9358
OUT	0	0	0.5852	0.4148
OUT	1	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	1	1	0.3009	0.6991
OUT	0	0	0.5852	0.4148
OUT	1	1	0.3009	0.6991
OUT	1	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	0	0	0.5852	0.4148
OUT	1	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	1	1	0.0642	0.9358
OUT	1	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	1	0	0.5852	0.4148
OUT	1	0	0.5692	0.4308
OUT	1	1	0.3009	0.6991
OUT	0	1	0.3009	0.6991
OUT	1	0	0.5852	0.4148
OUT	1	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	1	1	0.3009	0.6991
OUT	0	1	0.3009	0.6991
OUT	0	0	0.5692	0.4308
OUT	0	0	0.5852	0.4148
OUT	1	1	0.3009	0.6991
OUT	0	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	0	1	0.0642	0.9358
OUT	0	0	0.5692	0.4308
OUT	0	0	0.5852	0.4148
OUT	0	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	0	1	0.3252	0.6748
OUT	1	1	0.2760	0.7240
OUT	1	1	0.1573	0.8427
OUT	1	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	0	0	0.5852	0.4148
OUT	1	0	0.5692	0.4308
OUT	1	1	0.3009	0.6991
OUT	1	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	1	1	0.3009	0.6991
OUT	1	1	0.3009	0.6991
OUT	0	0	0.5692	0.4308
OUT	1	1	0.3009	0.6991
OUT	0	0	0.5852	0.4148
OUT	1	0	0.5692	0.4308
OUT	1	1	0.3009	0.6991
OUT	1	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	1	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	1	1	0.0112	0.9888
OUT	0	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
OUT	0	0	0.5692	0.4308
RES
OUT	1	1	0.2998	0.7002
OUT	1	0	0.5537	0.4463
OUT	0	0	0.5916	0.4084
OUT	1	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	1	1	0.2998	0.7002
OUT	1	0	0.5537	0.4463
OUT	0	0	0.5916	0.4084
OUT	1	1	0.2998	0.7002
OUT	1	1	0.2998	0.7002
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	1	1	0.2998	0.7002
OUT	0	0	0.5537	0.4463
OUT	1	0	0.5537	0.4463
OUT	1	0	0.5916	0.4084
OUT	1	0	0.5537	0.4463
OUT	1	1	0.2998	0.7002
OUT	0	0	0.5537	0.4463
OUT	1	1	0.1632	0.8368
OUT	1	0	0.8703	0.1297
OUT	1	0	0.5537	0.4463
OUT	1	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	1	0	0.5916	0.4084
OUT	1	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	1	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	1	0.2998	0.7002
OUT	1	1	0.2717	0.7283
OUT	1	0	0.5916	0.4084
OUT	1	0	0.5916	0.4084
OUT	1	1	0.2998	0.7002
OUT	0	1	0.2998	0.7002
OUT	1	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	1	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	1	0	0.5537	0.4463
OUT	1	1	0.0970	0.9030
OUT	0	0	0.5916	0.4084
OUT	1	0	0.5537	0.4463
OUT	0	0	0.5916	0.4084
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	1	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	1	1	0.2998	0.7002
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	1	1	0.2998	0.7002
OUT	0	0	0.5916	0.4084
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5916	0.4084
OUT	0	0	0.5537	0.4463
OUT	1	1	0.2998	0.7002
OUT	0	0	0.5916	0.4084
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	1	1	0.2998	0.7002
OUT	1	0	0.5916	0.4084
OUT	1	0	0.5537	0.4463
OUT	1	1	0.0096	0.9904
OUT	1	0	0.5537	0.4463
OUT	1	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5916	0.4084
OUT	1	1	0.1522	0.8478
OUT	0	0	0.5537	0.4463
OUT	1	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	1	0	0.5537	0.4463
OUT	0	1	0.2998	0.7002
OUT	1	0	0.5537	0.4463
OUT	1	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5916	0.4084
OUT	0	0	0.5916	0.4084
OUT	0	0	0.5537	0.4463
OUT	1	0	0.5537	0.4463
OUT	0	0	0.5916	0.4084
OUT	1	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	1	0	0.5537	0.4463
OUT	1	0	0.5916	0.4084
OUT	1	1	0.2998	0.7002
OUT	0	0	0.5537	0.4463
OUT	0	0	0.5537	0.4463
OUT	1	1	0.2998	0.7002
RES
OUT	1	0	0.5966	0.4034
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5966	0.4034
OUT	1	0	0.5645	0.4355
OUT	1	0	0.5966	0.4034
OUT	0	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	0	1	0.2700	0.7300
OUT	0	0	0.5966	0.4034
OUT	1	0	0.5966	0.4034
OUT	1	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	1	1	0.2700	0.7300
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	1	1	0.0000	1.0000
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5966	0.4034
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	1	0	0.5966	0.4034
OUT	0	0	0.5645	0.4355
OUT	0	1	0.3672	0.6328
OUT	1	0	0.5645	0.4355
OUT	0	0	0.5966	0.4034
OUT	1	0	0.5645	0.4355
OUT	1	1	0.2700	0.7300
OUT	1	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	1	1	0.2700	0.7300
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5966	0.4034
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	0	1	0.2700	0.7300
OUT	1	0	0.5966	0.4034
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	1	1	0.0072	0.9928
OUT	1	1	0.2733	0.7267
OUT	0	0	0.5966	0.4034
OUT	0	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	1	1	0.2700	0.7300
OUT	0	0	0.5966	0.4034
OUT	1	0	0.5645	0.4355
OUT	1	1	0.1515	0.8485
OUT	1	1	0.1128	0.8872
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	1	0	0.5966	0.4034
OUT	1	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	1	1	0.2700	0.7300
OUT	1	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	0	1	0.2700	0.7300
OUT	1	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	0	0	0.5966	0.4034
OUT	1	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5966	0.4034
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5966	0.4034
OUT	0	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	1	1	0.2700	0.7300
OUT	0	0	0.5645	0.4355
OUT	0	1	0.2700	0.7300
OUT	1	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	1	1	0.0000	1.0000
OUT	1	0	0.5966	0.4034
OUT	0	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	1	1	0.1515	0.8485
OUT	0	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
OUT	1	0	0.5645	0.4355
OUT	0	1	0.2700	0.7300
OUT	1	0	0.5645	0.4355
OUT	0	0	0.5966	0.4034
OUT	1	0	0.5645	0.4355
OUT	0	0	0.5645	0.4355
RES
OUT	1	1	0.2783	0.7217
OUT	0	0	0.5894	0.4106
OUT	0	0	0.5583	0.4417
OUT	1	1	0.2783	0.7217
OUT	0	0	0.5583	0.4417
OUT	0	0	0.5583	0.4417
OUT	0	0	0.5583	0.4417
OUT	1	0	0.5894	0.4106
OUT	1	0	0.5583	0.4417
OUT	1	0	0.5894	0.4106
OUT	0	0	0.5894	0.4106
OUT	0	0	0.5583	0.4417
OUT	1	1	0.2783	0.7217
