P36041	P07260
P30657	P21242
Q04067	P40217
P37370	Q12446
P53316	P40561
P52286	Q12347
P11433	P48562
Q06406	P57743
P32521	P39013
P38042	P14724
Q92331	P32913
P38129	P53040
P35190	P17157
P04050	P16370
Q04048	P24384
P52553	Q04493
P41832	P07274
P40094	P53271
P32917	P18851
P38111	Q04377
P13393	P46677
P33322	P53919
P39081	P25299
P34244	P41819
P43588	Q08723
P32598	P41818
Q01159	O13297
P25302	P09959
Q03497	P18851
P00560	P34162
P19073	P39011
P02309	P61830
P07269	P08153
P23724	P30656
Q01389	P32491
P32570	Q99278
P38042	P09798
P25554	P32494
Q07350	P32524
Q02199	P48837
P47167	Q12262
P20436	P10964
P32379	P40302
P39009	P22216
P38902	P08518
P08525	P07143
P08539	P18851
P39081	Q08685
P54786	P50111
P40468	P53894
P36000	Q12028
P20486	P24869
P32790	Q12446
Q06629	Q06623
P53309	P32521
P39009	P14737
P47113	P38987
P38203	P47017
P53840	P04786
P04050	P20436
Q04307	P22276
P07256	P08067
P00128	P07143
Q03768	P53295
P43605	P49956
P04051	P20436
P32379	P40303
P16892	P06784
Q04439	Q12446
P21243	P23639
P24384	Q12309
P33297	P53549
P21957	P22579
P32639	Q00916
Q03435	Q12345
P39517	P39008
Q04003	Q12495
P40963	Q12495
P23638	P23639
P24583	P06780
P32893	Q99394
P23724	P30657
Q12250	Q03981
P32447	P61830
P00127	P08525
P08153	P19659
P06787	P22517
P53281	Q12446
P24867	P17157
P33767	P41543
P33755	P53044
P39743	P39940
P47068	P53933
P32598	P43638
Q01329	P39927
Q12230	P40328
P25298	P42841
P04050	P20435
P38633	Q06213
P32790	P39013
P47017	P57743
Q03323	P43132
P22007	P29703
Q12046	P21374
P07260	P12962
P47017	P36048
P40036	P32598
P04050	P08518
Q06245	P32855
P47822	Q08278
P46680	P17555
P39966	P22216
P23638	P40303
P39927	P53538
P23639	P40303
P61830	P32447
P15873	P38766
Q06410	P53877
P52286	Q04511
P47093	P53905
P33755	P25694
P39743	Q12446
P38629	P40339
P10863	P32582
Q03919	P52286
P00546	P20438
P08964	Q06580
Q12046	P32523
P22204	P40484
P31384	P39008
P52286	P07834
P33891	P53847
P25362	Q02197
P23724	P32379
P06243	P15705
P40509	P32074
P47822	P38633
P32325	P32562
P26798	P13902
P32485	P32561
Q12468	Q04368
P38629	Q12050
P00546	P32943
P16892	P08539
P00163	P07143
P47068	Q12446
P08518	P22139
P40075	P21957
Q04272	P52917
P60010	P17555
P16892	P39016
P11325	Q08963
P38902	P20436
P30657	P25043
P23638	P21242
P00163	P00128
P25441	P36121
P06782	P34164
Q06648	P41697
P36084	Q12309
P38633	P33308
P23638	P40302
P25655	Q12514
P32505	Q99383
P40480	P53685
Q04048	Q12309
P38315	P19880
P20486	P24870
P32468	P32458
P38624	P21242
P38351	P89105
P20052	P17157
Q04659	P53840
Q02208	P04786
P16861	P16862
P14922	P16649
P23724	P40302
P20434	P04050
Q02574	P48581
P00546	P20437
P40368	Q02630
P38844	P16370
P04050	P27999
Q03465	P32565
P49687	Q04491
P41811	P32074
P32598	P34758
P37370	Q04439
Q12030	Q03750
P38328	P36006
P07256	P08525
P14922	P53096
P38930	P19454
P38304	P34162
P46677	Q03750
P16370	P38902
P38274	P32944
P39678	P09959
P07278	P06244
P28004	Q06411
P21374	Q12309
P32790	P40494
P53277	Q03654
P13365	P00546
P32790	P15891
P53939	Q08229
P11433	P13856
P50106	P32529
P14741	P32502
Q07442	P32447
P23639	P25043
Q03290	P37366
P13099	P35187
P14737	P22216
P38622	P32485
P47123	P32835
P48581	Q08949
P43609	Q03124
P11978	P06701
Q03373	P14681
P13434	Q02516
P41810	P43621
P47083	P53941
P13712	Q12495
Q04003	P32447
P40070	Q06217
Q02336	Q03330
P38251	Q12050
Q07657	P32468
P31377	P40479
P33203	Q12309
P00546	P24868
Q12421	Q06410
Q01389	P19524
P38203	P39517
P34230	P06786
P39940	P60010
P06243	P32325
P25451	P23638
P32381	Q01389
P32479	P32447
P36006	P37370
P43563	P53894
P34160	Q08920
P06784	P32917
P13574	Q03063
P23201	P32490
Q12277	P48240
P38985	P32342
P53965	P50946
P53905	P20053
P38302	Q12417
P38856	P32521
P38262	P40480
P47017	P34230
P04911	P25293
P15891	P53933
P32944	P24869
P38633	Q08278
P38920	P14242
P40073	Q12446
P38302	Q12309
P32797	P38960
P16370	P22139
P00546	P24869
P22224	Q06245
P23724	P25043
P32379	P23639
P30657	P40302
P14907	P40368
P25043	P30656
P25299	P25298
P40186	P17157
P38283	Q00684
P32447	P32480
Q03373	Q03063
P32447	P22216
P45976	P42841
P07256	P53550
P20434	P10964
P22336	P06778
P11433	P19073
P40070	P53905
P00817	P06787
P0CX33	P05317
Q12309	Q12417
Q12030	P11747
P19736	P32524
P00546	P30283
P40518	P33204
P13517	P28495
P38080	Q02793
P28000	P07703
P25389	P25293
P32776	P36100
P16474	P36016
P40070	P53550
P32833	P54790
P27999	P08518
P16892	P32917
P39998	Q12517
P29366	P21268
P32495	P53919
Q06697	P38439
P32569	Q08278
P32447	P35817
P49960	P53905
Q12030	Q04226
P32774	P32773
P50090	P38853
P40054	P40510
P38328	Q05933
P38700	Q12028
P08067	P22289
Q12330	P54999
P32910	P32349
P11914	P10507
P61830	P04911
P52286	P24814
Q02574	Q08949
P23724	P25451
P41810	P41811
P38844	P08518
P43609	P32832
P06784	P14681
Q04048	P28320
Q06406	P34230
P52286	Q08446
P38203	P53905
P28004	Q04048
P30657	P38624
Q07350	P40070
P33298	P33297
P11710	P40073
P22141	P25451
P47822	Q12343
P40066	Q02630
P34230	P57743
P14724	P16522
P25693	P39743
P38822	Q06604
P32529	P22138
P13856	P19073
P36084	Q12186
P06782	Q04739
Q04437	P32807
P38153	P46682
Q07468	P12868
Q03435	P40060
P38794	P17157
Q99260	P32939
Q03407	P53252
Q07350	P53830
P10863	P07283
P02294	P04911
Q12018	P39014
P38302	Q04048
P10862	P06104
P22336	P26755
P32916	P36057
P32797	Q07921
P32790	P39743
Q00416	Q02555
P32833	P32325
P07276	Q00416
P40512	Q12348
P40073	P23561
P14681	P23561
P11433	P21268
P15891	P17555
P38827	Q02574
P38304	P32585
P32790	P13134
Q07622	P51862
P32447	P40963
P40348	Q12050
Q04003	P40963
P38874	Q04868
P38111	P26754
P14922	P32561
P19073	P48562
P53064	Q06697
P07256	P00128
Q04226	P11747
P32505	P28007
P49723	P09938
P38262	P25357
P29366	P32917
Q03940	Q12464
P34221	Q12447
P21243	P21242
P46677	Q12297
P07270	P17442
P07278	P05986
P38700	P36000
P32569	P38633
P20434	P04051
P00163	P07256
P38193	P40164
Q02554	Q99181
P32523	Q06091
P38810	P15303
P32908	P38989
P32639	P15938
P18852	P18851
Q12477	P17157
P45976	Q06102
P36006	Q04439
P15891	P50942
P08518	P20435
Q03898	P32598
P32917	P14681
P32561	P22579
P38334	P36149
